GALname GALID Morphology RAgalaxy DECgalaxy z SN Type RASN DECSN Sep Sample Comments
CGCG008-023 5049 Sc 10:01:11.88 +00:19:45.6 0.034506 2013U Ia 10:01:12.00 +00:19:42.3 3.8 7 ""
NGC3499 5050 I0? 11:03:11.03 +56:13:18.2 0.00512 2007sa Ia 11:03:10.78 +56:13:26.3 8.4 7 ""
NGC3905 5051 SB(rs)c 11:49:04.91 -09:43:47.4 0.01926 2009ds Ia 11:49:04.11 -09:43:44.9 12.1 7 ""
NGC3905 5051 SB(rs)c 11:49:04.91 -09:43:47.4 0.01926 2001E Ia 11:49:05.00 -09:44:10.9 23.5 7 ""
NGC3905 5051 SB(rs)c 11:49:04.91 -09:43:47.4 0.01926 2014V II 11:49:06.20 -09:43:33.7 23.5 7 ""
2MASXJ12095669 5052 S0$^-$ 12:09:56.71 +47:05:45.6 0.031463 2006ct Ia 12:09:57.03 +47:05:43.9 3.7 7 ""
UGC08472 5053 S0 13:29:13.64 +11:16:33.0 0.022095 SNF20080514-002 Ia 13:29:12.82 +11:16:20.6 17.3 7 ""
NGC5339 5055 "SB(rs)a pec" 13:54:00.27 -07:55:50.4 0.009126 2013aj Ia 13:54:00.68 -07:55:43.8 9.0 7 ""
NGC5426 5056 "SA(s)c pec" 14:03:24.85 -06:04:08.8 0.008579 1991B Ia 14:03:24.41 -06:04:21.4 14.2 7 ""
NGC5426 5056 "SA(s)c pec" 14:03:24.85 -06:04:08.8 0.008579 2009mz Ia 14:03:24.64 -06:03:31.3 37.6 7 ""
NGC5468 5057 SAB(rs)cd 14:06:34.89 -05:27:11.2 0.00948 2005P Ia-02cx 14:06:34.01 -05:27:42.6 34.0 7 ""
IC4582 5058 S? 15:45:39.45 +28:05:19.2 0.007155 2006be IIP 15:45:39.00 +28:05:19.2 6.0 7 ""
2MASXJ16152860 5059 Sc 16:15:28.61 +19:13:33.7 0.032753 SNF20080612-003 Ia 16:15:28.39 +19:13:35.9 3.8 7 ""
NGC6261 5060 S0/a 16:56:30.52 +27:58:39.0 0.035391 2008dt Ia 16:56:30.56 +27:58:33.2 5.8 7 ""
NGC6261 5060 S0/a 16:56:30.52 +27:58:39.0 0.035391 2007hu Ia 16:56:29.96 +27:58:40.4 7.5 7 ""
NGC6962 5062 SAB(r)ab 20:47:19.06 +00:19:14.9 0.014011 2002ha Ia 20:47:18.58 +00:18:45.6 30.2 7 ""
NGC6962 5062 SAB(r)ab 20:47:19.06 +00:19:14.9 0.014011 2003dt Ia 20:47:17.56 +00:18:42.8 39.2 7 ""
NGC6373 5063 SAB(s)c 17:24:08.09 +58:59:42.3 0.011074 2012an IIb 17:24:10.23 +59:00:06.9 29.6 7 "Already included in the CALIFA DR3"
UGC11723 5064 "Sb edge-on" 21:20:17.48 -01:41:03.6 0.016341 2006cm Ia 21:20:17.46 -01:41:02.7 0.9 7 ""
NGC7461 5065 SB0 23:01:48.33 +15:34:56.9 0.014113 2007hj Ia 23:01:47.89 +15:35:11.4 15.8 7 ""
CGCG476117 5066 S? 23:42:38.42 +27:05:30.7 0.024961 2012et Ia 23:42:38.82 +27:05:31.5 5.4 7 ""
SDSSJ004750 5067 "" 00:47:50.94 +31:49:22.5 0.08746 PTF13ddg Ia 00:47:50.83 +31:49:17.5 5.2 8 ""
KUG0147+328B 5068 S 01:50:51.20 +33:08:22.0 0.037178 2012fb Ia 01:50:51.20 +33:08:25.4 3.4 8 "NED redshift is photometric, spectroscopic redshift measured from our data"
2MASXJ07192718 5069 "" 07:19:27.20 +54:13:45.4 0.067347 PTF11qzq Ia 07:19:27.24 +54:13:48.0 2.6 8 ""
SDSSJ083516 5070 Sc(f) 08:35:16.34 +48:19:01.4 0.042955 2014ev Ia 08:35:16.68 +48:19:01.1 3.4 8 ""
2MASXJ08374557 5071 "" 08:37:45.59 +49:28:40.2 0.05201 2013ar Ia 08:37:45.02 +49:28:32.2 9.7 8 ""
NGC2771 5072 (R')SB(r)ab 09:10:39.66 +50:22:47.5 0.016855 ASASSN-14iu Ia 09:10:39.53 +50:22:48.3 1.5 8 ""
M82 5073 "I0 edge-on" 09:55:52.73 +69:40:45.8 0.000677 2008iz II 09:55:51.55 +69:40:45.8 6.1 8 ""
M82 5073 "I0 edge-on" 09:55:52.73 +69:40:45.8 0.000677 2004am II 09:55:46.61 +69:40:38.1 32.8 8 ""
M82 5073 "I0 edge-on" 09:55:52.73 +69:40:45.8 0.000677 2014J Ia 09:55:42.14 +69:40:26.0 58.6 8 ""
NGC3451 5074 Sd 10:54:20.89 +27:14:23.2 0.00445 1997dn II 10:54:18.95 +27:14:07.3 30.3 8 ""
NGC3847 5075 E 11:44:13.97 +33:30:52.3 0.031829 2011ho Ia 11:44:12.95 +33:30:58.1 14.0 8 ""
NGC3861 5076 (R')SAB(r)b 11:45:03.88 +19:58:25.3 0.016982 2014aa Ia 11:45:03.58 +19:58:25.4 4.3 8 ""
UGC08503 5077 Im 13:30:44.82 +32:45:38.8 0.01555 iPTF14bdn Ia 13:30:44.88 +32:45:42.4 3.7 8 ""
2MASXJ15024995 5078 "" 15:02:49.99 +48:47:00.8 0.026138 PSNJ15024996 Ia 15:02:49.96 +48:47:06.2 5.4 8 ""
NGC5837 5079 S 15:04:40.58 +12:38:00.4 0.028723 2014ac Ia 15:04:40.09 +12:37:54.0 9.7 8 ""
NGC5837 5079 S 15:04:40.58 +12:38:00.4 0.028723 2015Z IIn 15:04:40.78 +12:37:43.6 17.3 8 ""
2MASXJ15393305 5080 E 15:39:33.08 +32:05:38.3 0.053843 PTF13ayw Ia 15:39:33.52 +32:05:38.2 5.6 8 ""
2MASXJ15570268 5081 "" 15:57:02.70 +37:25:00.1 0.030869 ASASSN-14ay Ia 15:57:02.99 +37:24:56.4 5.1 8 ""
2MASXJ17100856 5084 "" 17:10:08.62 +74:43:43.0 0.042261 ASASSN-15fj Ia 17:10:08.55 +74:43:42.6 0.5 8 ""
2MASXJ18242915 5085 "" 18:24:29.19 +52:26:37.9 0.030321 ASASSN-14in Ia 18:24:29.61 +52:26:32.8 11.4 8 ""
CGCG229-010 5086 "" 18:58:40.66 +43:28:06.0 0.02902 ASASSN-15fs Ia 18:58:40.82 +43:28:07.9 2.6 8 ""
2MASXJ22415147 5087 "" 22:41:51.48 +34:58:02.9 0.032911 2012go Ia 22:41:51.83 +34:58:07.4 6.2 8 "Redshift first time reported here. It has been labeled as UGC 12157"
GALEXASCJ234457 5088 "" 23:44:57.62 +03:23:38.1 0.051653 iPTF13dkl Ia 23:44:57.99 +03:23:40.3 5.9 8 ""
2MASXJ00234829 5089 "" 00:23:48.31 -03:51:20.7 0.053727 iPTF14gnl Ia 00:23:48.33 -03:51:27.9 7.2 8 ""
GALEXASCJ012052 5090 "" 01:20:52.73 +03:20:22.3 0.034283 iPTF13dkx Ia 01:20:53.14 +03:20:23.7 6.3 8 ""
2MASXJ16301506 5091 "" 16:30:15.08 +05:55:51.4 0.051501 LSQ15aae Ia 16:30:15.70 +05:55:58.7 11.9 8 ""
2MASXJ02305208 5093 "" 02:30:52.07 +22:28:32.3 0.035 2012fk Ia 02:30:52.04 +22:28:45.9 13.6 8 ""
2MASXJ01144386 5095 Sc 01:14:43.86 +00:17:09.7 0.045185 PTF12ikt Ia 01:14:43.13 +00:17:07.1 11.3 8 ""
NGC7042 5096 Sb 21:13:45.86 +13:34:29.7 0.016952 2013fw Ia 21:13:44.81 +13:34:33.5 15.8 8 ""
UGC12809 5098 Sb 23:51:03.19 +46:43:25.2 0.045985 2011iu Ia 23:51:02.28 +46:43:21.7 9.9 8 ""
CGCG229-009 5099 "" 18:58:03.44 +43:56:08.9 0.028313 2016esw II 18:58:04.09 +43:56:22.6 15.2 8 ""
GALEXASCJ161311 5100 "" 16:13:11.69 +01:35:32.2 0.033064 PS15sv Ia 16:13:11.74 +01:35:31.1 1.4 8 ""
